"Player","ID","season","cut","misc","postup","prman","putback","transition","handoff","offscreen","prhandler","spotup","isolation"
"AndrewBogut","101106",2016,140,74,25,37,72,19,NA,NA,NA,NA,NA
"MarvinWilliams","101107",2016,56,62,38,130,79,71,32,40,18,346,NA
"ChrisPaul","101108",2016,NA,94,20,NA,14,186,47,13,749,90,220
"RaymondFelton","101109",2016,16,58,NA,NA,NA,76,23,20,396,196,90
"CharlieVillanueva","101111",2016,15,12,23,40,18,45,13,56,NA,139,NA
"ChanningFrye","101112",2016,12,20,29,77,12,33,NA,22,NA,170,NA
"DeronWilliams","101114",2016,18,61,87,NA,NA,106,59,117,280,169,112
"GeraldGreen","101123",2016,24,31,19,NA,19,116,79,75,49,234,22
"JarrettJack","101127",2016,NA,35,NA,NA,NA,54,23,14,217,91,50
"IanMahinmi","101133",2016,193,71,70,136,59,51,NA,NA,NA,52,15
"DavidLee","101135",2016,90,27,68,106,61,41,NA,NA,NA,18,14
"BrandonBass","101138",2016,76,27,49,117,53,52,NA,NA,NA,21,28
"CJMiles","101139",2016,NA,38,NA,19,18,155,80,142,54,221,20
"ErsanIlyasova","101141",2016,67,41,40,114,119,106,10,39,NA,246,NA
"MontaEllis","101145",2016,25,72,NA,NA,18,229,88,74,502,192,96
"LouWilliams","101150",2016,15,23,NA,NA,15,138,77,86,426,100,91
"AmirJohnson","101161",2016,111,73,63,90,100,62,NA,NA,NA,54,18
"MarcinGortat","101162",2016,307,80,153,226,105,74,NA,NA,NA,16,11
"RonniePrice","101179",2016,NA,25,NA,NA,NA,67,31,11,78,126,37
"JoseCalderon","101181",2016,16,42,NA,NA,NA,57,43,43,212,128,12
"AlanAnderson","101187",2016,NA,NA,NA,NA,NA,12,NA,NA,NA,24,11
"TimDuncan","1495",2016,105,66,151,141,48,26,NA,NA,NA,31,NA
"JahlilOkafor","1626143",2016,109,39,315,129,84,65,NA,NA,NA,45,187
"EmmanuelMudiay","1626144",2016,35,58,34,NA,17,186,58,43,523,182,81
"TyusJones","1626145",2016,NA,15,NA,NA,NA,35,NA,NA,82,37,16
"JustinAnderson","1626147",2016,10,13,NA,NA,10,40,15,17,32,73,12
"AnthonyBrown","1626148",2016,NA,NA,NA,NA,NA,28,11,14,10,63,NA
"D'AngeloRussell","1626156",2016,48,62,76,NA,25,195,56,36,473,191,73
"Karl-AnthonyTowns","1626157",2016,116,105,251,358,167,106,NA,81,NA,160,96
"RichaunHolmes","1626158",2016,75,21,12,61,39,24,NA,NA,NA,41,NA
"JustiseWinslow","1626159",2016,73,40,21,NA,46,147,26,NA,43,184,15
"WillieCauley-Stein","1626161",2016,127,30,25,63,84,81,NA,NA,NA,20,13
"KellyOubre Jr.","1626162",2016,30,14,NA,NA,17,57,18,13,25,83,NA
"FrankKaminsky","1626163",2016,61,38,70,133,31,40,11,19,NA,214,25
"DevinBooker","1626164",2016,46,92,37,NA,12,211,82,151,304,129,70
"CameronPayne","1626166",2016,NA,16,NA,NA,NA,44,11,NA,152,83,11
"MylesTurner","1626167",2016,90,47,142,180,44,48,NA,16,NA,54,26
"TreyLyles","1626168",2016,58,22,12,85,31,52,NA,11,NA,233,22
